osm_id,code,fclass,name,point_x,point_y,lon,lat
6699610665,2303,cafe,Starbucks,-87.9040039000,43.0449534000,-87.904,43.04495
6700590970,2303,cafe,Café at the Plaza,-87.9023543000,43.0442340000,-87.90235,43.04423
6726755386,2303,cafe,Stone Creek Café,-87.8778822000,43.0671122000,-87.87788,43.06711
6780118523,2303,cafe,Fairgrounds Coffee & Tea,-87.8997847000,43.0441795000,-87.89978,43.04418
6780130202,2303,cafe,Press Au Marché,-87.9088328000,43.0336256000,-87.90883,43.03363
6781371090,2082,school,Milwaukee Ballet School & Academy,-87.9029882000,43.0300916000,-87.90299,43.03009
6841521177,2083,kindergarten,Young Achievers Academy,-87.9463926000,43.1048006000,-87.94639,43.1048
6865048228,2303,cafe,Pizzeria 3301,-87.9565362000,43.0280083000,-87.95654,43.02801
6958794807,2303,cafe,Stone Creek Coffee,-87.9033203000,43.0403985000,-87.90332,43.0404
6958794808,2501,supermarket,Maurer’s Urban Market,-87.9033412000,43.0403421000,-87.90334,43.04034
7033758915,2110,hospital,Marriage and Family therapist counseling Milwaukee,-87.9222242000,42.9573358000,-87.92222,42.95734
7043124351,2501,supermarket,Piggly Wiggly,-87.8832378000,42.9145775000,-87.88324,42.91458
7060831905,2501,supermarket,Metro Market,-87.8878138000,43.0924615000,-87.88781,43.09246
7177748983,2303,cafe,Starbucks,-87.9120715000,43.1763130000,-87.91207,43.17631
7198876949,2012,community_centre,The Retreat,-87.9144062000,43.0595258000,-87.91441,43.05953
7292741090,2303,cafe,SmallPie,-87.8779746000,42.9883203000,-87.87797,42.98832
7351002085,2405,hostel,The Vila Regent,-87.9049299000,43.1747363000,-87.90493,43.17474
7372926617,2303,cafe,Sprocket Cafe,-87.8808596000,42.9829880000,-87.88086,42.98299
7372926641,2303,cafe,Sabrosa Cafe & Gallery,-87.9049059000,42.9860780000,-87.90491,42.98608
7767834636,2501,supermarket,5XEN Super Asian Market,-88.0050343000,43.1327617000,-88.00503,43.13276
7779402185,2303,cafe,North Shore Boulangerie,-87.8876238000,43.0957125000,-87.88762,43.09571
7795774036,2303,cafe,Starbucks,-87.9127301000,42.9837208000,-87.91273,42.98372
7826838829,2501,supermarket,Nehring's Sendik's on Downer,-87.8783002000,43.0670896000,-87.8783,43.06709
7841657679,2110,hospital,Groth Law Firm,-87.9328467000,43.0237744000,-87.93285,43.02377
699684,2007,library,Zablocki Library,-87.9573089000,42.9743884000,-87.95731,42.97439
293559085,2007,library,North Shore Public Library,-87.9121100000,43.1401189000,-87.91211,43.14012
349538175,2005,post_office,West Allis Post Office,-88.0056427000,43.0169583000,-88.00564,43.01696
349538191,2005,post_office,Teutonia Station Milwaukee Post Office,-87.9289746000,43.0675126000,-87.92897,43.06751
349538223,2005,post_office,Western Station Milwaukee Post Office,-87.9825871000,43.0677901000,-87.98259,43.06779
349538318,2005,post_office,Hilltop Station Milwaukee Post Office,-87.9273076000,43.0475132000,-87.92731,43.04751
349538325,2005,post_office,Harbor Station Milwaukee Post Office,-87.9264738000,43.0169587000,-87.92647,43.01696
349538367,2005,post_office,Bay View Saint Francis Station Milwaukee Post Office,-87.8887065000,42.9873532000,-87.88871,42.98735
349538378,2005,post_office,Doctor Martin Luther King Junior Station Milwaukee Post Office,-87.9136196000,43.0669425000,-87.91362,43.06694
349538389,2005,post_office,Fred John Station Milwaukee Post Office,-88.0263889000,43.1186111000,-88.02639,43.11861
349538398,2005,post_office,Greenfield Branch Milwaukee Post Office,-88.0050000000,42.9652778000,-88.005,42.96528
349538407,2005,post_office,Hales Corners Post Office,-88.0469228000,42.9454875000,-88.04692,42.94549
349538416,2005,post_office,Hampton Station Milwaukee Post Office,-87.9930556000,43.1027778000,-87.99306,43.10278
349538426,2005,post_office,North Milwaukee Station Milwaukee Post Office,-87.9522222000,43.1261111000,-87.95222,43.12611
349538623,2005,post_office,Sequoia Station Milwaukee Post Office,-87.9927778000,43.1775000000,-87.99278,43.1775
349538638,2005,post_office,Parklawn Station Milwaukee Post Office,-87.9572222000,43.0888889000,-87.95722,43.08889
349538704,2005,post_office,Tuckaway Branch Milwaukee Post Office,-87.9477778000,42.9516667000,-87.94778,42.95167
367808660,2002,fire_station,Fire Station Number 25,-87.9373086000,43.1083445000,-87.93731,43.10834
367808661,2002,fire_station,Fire Station 23,-87.9221210000,43.0167269000,-87.92212,43.01673
367808662,2002,fire_station,Fire Station 13,-87.9513954000,43.0717680000,-87.9514,43.07177
367808663,2002,fire_station,Fire Station Number 3,-88.0475880000,43.0139025000,-88.04759,43.0139
367808665,2002,fire_station,Fire Station Number 1,-87.8995299000,43.1130668000,-87.89953,43.11307
367808682,2002,fire_station,Greenfield Fire Station 2,-88.0286111000,42.9658333000,-88.02861,42.96583
367808684,2002,fire_station,North Shore Fire Station 2,-87.9294444000,43.1408333000,-87.92944,43.14083
367808687,2002,fire_station,Wauwatosa Fire Station Number 3,-88.0441667000,43.0450000000,-88.04417,43.045
367808690,2002,fire_station,North Shore Fire Station 4,-87.8997222000,43.1130556000,-87.89972,43.11306
367808703,2002,fire_station,Fire Station Number 37,-87.9625871000,43.1111221000,-87.96259,43.11112
367808705,2002,fire_station,Fire Station Number 33,-87.9515833000,42.9990901000,-87.95158,42.99909
367808706,2002,fire_station,Fire Station Number 34,-87.9725868000,43.0677902000,-87.97259,43.06779
367808890,2007,library,Cudahy Memorial Library,-87.8603599000,42.9597380000,-87.86036,42.95974
367808891,2007,library,East Branch West Allis Public Library,-87.9963509000,43.0068734000,-87.99635,43.00687
367808892,2007,library,Finney Neighborhood Library,-87.9673088000,43.0602905000,-87.96731,43.06029
367808925,2001,police,District 6 Police Station,-87.9475598000,42.9904189000,-87.94756,42.99042
367808949,2007,library,Zablocki Branch Milwaukee Public Library,-87.9584187000,42.9880705000,-87.95842,42.98807
367810200,2008,town_hall,Franklin City Hall,-88.0288889000,42.8986111000,-88.02889,42.89861
367810265,2008,town_hall,Wauwatosa City Hall,-88.0094286000,43.0601305000,-88.00943,43.06013
368015712,2008,town_hall,Oak Creek City Hall,-87.9177719000,42.8984388000,-87.91777,42.89844
444631159,2002,fire_station,Oak Creek Fire Station #2,-87.8548616000,42.8573647000,-87.85486,42.85736
554426471,2001,police,Milwaukee Police Department District 1 Station,-87.9214061000,43.0426946000,-87.92141,43.04269
629321872,2001,police,Brown Deer Police Department,-87.9702349000,43.1819531000,-87.97023,43.18195
669777026,2001,police,Bayside Police Department,-87.9058771000,43.1824058000,-87.90588,43.18241
1062730490,2001,police,MPD Avenues West Substation,-87.9395420000,43.0403949000,-87.93954,43.04039
1817083133,2005,post_office,Union Station,-87.9311773000,43.0398453000,-87.93118,43.03985
1905811234,2005,post_office,Mail'n'More,-87.9161698000,43.1163974000,-87.91617,43.1164
2461549536,2002,fire_station,,-87.9912499000,42.8644530000,-87.99125,42.86445
2469015080,2002,fire_station,Franklin Fire Department Station 3,-87.9759308000,42.9012058000,-87.97593,42.90121
2485281611,2005,post_office,,-88.0482176000,43.0522809000,-88.04822,43.05228
2485703485,2007,library,,-88.0062827000,43.1352194000,-88.00628,43.13522
3112067283,2008,town_hall,Village of Whitefish Bay Village Hall,-87.9002033000,43.1139200000,-87.9002,43.11392
3957469448,2007,library,Milwaukee Public Library East Branch,-87.8867043000,43.0605262000,-87.8867,43.06053
3989012319,2005,post_office,The UPS Store,-87.9062093000,43.0480310000,-87.90621,43.04803
3992448348,2001,police,MSOE Public Safety Department,-87.9075166000,43.0460829000,-87.90752,43.04608
4019063297,2007,library,MATC Downtown Milwaukee Campus Library,-87.9210167000,43.0431464000,-87.92102,43.04315
4230780590,2008,town_hall,City of St. Francis City Hall,-87.8649599000,42.9742114000,-87.86496,42.97421
4230780591,2002,fire_station,St. Francis Fire Department,-87.8643096000,42.9743013000,-87.86431,42.9743
4256956927,2007,library,Dorothea Music Library,-87.8924694000,43.0504222000,-87.89247,43.05042
4326439962,2007,library,Oak Creek Public Library,-87.9180834000,42.8984224000,-87.91808,42.89842
4379443545,2007,library,Wauwatosa Public Library,-88.0085915000,43.0600605000,-88.00859,43.06006
4455896330,2005,post_office,The UPS Store,-87.9950558000,43.0465597000,-87.99506,43.04656
4457532992,2002,fire_station,Fire Station 22,-88.0227605000,43.0835065000,-88.02276,43.08351
4457562659,2002,fire_station,Fire Station 26,-87.9461611000,43.0192486000,-87.94616,43.01925
4457586154,2002,fire_station,Fire Station 29,-88.0180465000,42.9802119000,-88.01805,42.98021
4457594189,2002,fire_station,Fire Station 30,-87.9308346000,43.0715171000,-87.93083,43.07152
4457602296,2002,fire_station,Fire Station 32,-87.9515771000,43.0512647000,-87.95158,43.05126
4458085852,2002,fire_station,Fire Station 34,-87.9899666000,43.0750266000,-87.98997,43.07503
4458088681,2002,fire_station,Fire Station 33,-87.9700458000,43.0097171000,-87.97005,43.00972
4458110075,2002,fire_station,Fire Station 37,-87.9506181000,43.1145891000,-87.95062,43.11459
4458131280,2002,fire_station,Fire Station 38,-88.0394873000,43.1716653000,-88.03949,43.17167
4458194389,2002,fire_station,Fire Station 39,-88.0099814000,43.1629367000,-88.00998,43.16294
4591428033,2005,post_office,The UPS Store,-87.8871612000,43.0943061000,-87.88716,43.09431
5002408086,2001,police,South Milwaukee Police Department,-87.8730345000,42.9064657000,-87.87303,42.90647
5260740032,2001,police,Milwaukee County Sheriff,-87.9020123000,42.9490391000,-87.90201,42.94904
5421269734,2007,library,Harry H. Anderson Research Library,-87.9142767000,43.0420160000,-87.91428,43.04202
5594845782,2001,police,Franklin Police Department,-88.0308102000,42.8954294000,-88.03081,42.89543
5625643249,2007,library,kathys corner,-87.9096005000,43.1110985000,-87.9096,43.1111
5796357171,2007,library,Milwaukee County Law Library,-87.9239016000,43.0420279000,-87.9239,43.04203
6140957960,2007,library,Cardinal Stritch University Library,-87.9089362000,43.1399969000,-87.90894,43.14
6160016542,2007,library,Municipal Research Center,-87.9085757000,43.0419033000,-87.90858,43.0419
6175671820,2001,police,Glendale Police Department,-87.9295090000,43.1255159000,-87.92951,43.12552
6770769433,2007,library,"Herzfeld Photography, Print, and Drawing Study Center",-87.8969959000,43.0402904000,-87.897,43.04029
6770769434,2007,library,The Milwaukee Art Museum Research Center,-87.8975954000,43.0460658000,-87.8976,43.04607
7177762307,2005,post_office,Pack N’ Ship,-87.9113447000,43.1763461000,-87.91134,43.17635
